Profile Summary
Generated on: 2023-06-04 18:16:14
Msec since Epoch: 1685895374508
Profiled application: simple_vadd
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.479
Build version branch: 2022.1
Build version hash: 5e92a513c6950e79638b1a879ddb882da34fc683
Build version date: N/A
Target devices: xilinx_u280_gen3x16_xdma_base_1-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,3,0.152134,0.033931,0.0507113,0.073762,
clCreateCommandQueue,1,0.01325,0.01325,0.01325,0.01325,
clCreateContext,1,68.6339,68.6339,68.6339,68.6339,
clCreateKernel,1,1.40084,1.40084,1.40084,1.40084,
clCreateProgramWithBinary,1,4917.98,4917.98,4917.98,4917.98,
clEnqueueMapBuffer,3,0.437361,0.024451,0.145787,0.371899,
clEnqueueMigrateMemObjects,2,0.02486,0.00909,0.01243,0.01577,
clEnqueueTask,1,0.087292,0.087292,0.087292,0.087292,
clEnqueueUnmapMemObject,3,0.018791,0.003791,0.00626367,0.01051,
clFinish,2,0.350157,0.118932,0.175078,0.231225,
clGetDeviceIDs,2,0.00419,0.0013,0.002095,0.00289,
clGetDeviceInfo,2,6.96656,0.0022,3.48328,6.96436,
clGetExtensionFunctionAddress,2,0.01951,0.00352,0.009755,0.01599,
clGetExtensionFunctionAddressForPlatform,2,0.00535,0.0014,0.002675,0.00395,
clGetPlatformInfo,14,0.01495,0.00087,0.00106786,0.00226,
clReleaseCommandQueue,1,0.00485,0.00485,0.00485,0.00485,
clReleaseContext,1,14.5028,14.5028,14.5028,14.5028,
clReleaseDevice,5,0.016951,0.00243,0.0033902,0.005881,
clReleaseKernel,1,6.57787,6.57787,6.57787,6.57787,
clReleaseMemObject,9,0.021131,0.00186,0.00234789,0.002821,
clReleaseProgram,1,0.00385,0.00385,0.00385,0.00385,
clRetainDevice,5,0.00953,0.00108,0.001906,0.00487,
clRetainMemObject,6,0.015679,0.00185,0.00261317,0.00371,
clSetKernelArg,4,0.023101,0.00223,0.00577525,0.010981,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
krnl_vadd,1,0.110603,0.110603,0.110603,0.110603,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
26971056,krnl_vadd,0,0,xilinx_u280_gen3x16_xdma_base_1-0,9286.74,0.110603,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,9286.67,0.035891,32.768,912.987,
0,0,0,9287.07,0.034691,16.384,472.284,
16384,0,0,9287.12,0.028381,16.384,577.288,
32768,0,0,9287.15,0.00885,16.384,1851.3,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
32768,0,0,9286.9,0.077762,16.384,210.694,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,210.694,1.33741,16.384,0.077762,0.077762,
context0:1,WRITE,4,759.834,4.82316,20.48,0.107813,0.0269533,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),









Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u280_gen3x16_xdma_base_1-0,0.110603,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[0],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[1],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[2],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[3],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[4],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[5],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[6],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[7],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[8],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[9],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[10],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[11],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[12],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[13],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[14],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[15],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[16],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[17],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[18],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[19],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[20],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[21],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[22],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[23],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[24],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[25],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[26],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[27],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[28],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[29],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[30],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[31],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|DDR[0],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|DDR[1],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[2],0,
