Profile Summary
Generated on: 2023-07-24 19:57:07
Msec since Epoch: 1690221427235
Profiled application: simple_vadd_vector_multibank_stream
Target platform: Xilinx
Tool version: 2022.1
XRT build version: 2.13.479
Build version branch: 2022.1
Build version hash: 5e92a513c6950e79638b1a879ddb882da34fc683
Build version date: N/A
Target devices: xilinx_u280_gen3x16_xdma_base_1-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,3,0.021031,0.0025,0.00701033,0.015171,
clCreateCommandQueue,1,0.019511,0.019511,0.019511,0.019511,
clCreateContext,1,131.363,131.363,131.363,131.363,
clCreateKernel,1,1.49457,1.49457,1.49457,1.49457,
clCreateProgramWithBinary,1,7505.87,7505.87,7505.87,7505.87,
clEnqueueMapBuffer,3,0.430751,0.024461,0.143584,0.364619,
clEnqueueMigrateMemObjects,2,0.038781,0.017231,0.0193905,0.02155,
clEnqueueTask,1,0.108143,0.108143,0.108143,0.108143,
clEnqueueUnmapMemObject,3,0.02201,0.00334,0.00733667,0.01362,
clFinish,2,1.09397,0.264026,0.546983,0.82994,
clGetDeviceIDs,2,0.00823,0.00278,0.004115,0.00545,
clGetDeviceInfo,2,14.9301,0.00466,7.46504,14.9254,
clGetExtensionFunctionAddress,2,0.035751,0.00727,0.0178755,0.028481,
clGetExtensionFunctionAddressForPlatform,2,0.01,0.00294,0.005,0.00706,
clGetPlatformInfo,14,0.033391,0.00177,0.00238507,0.00531,
clReleaseCommandQueue,1,0.004671,0.004671,0.004671,0.004671,
clReleaseContext,1,5.33759,5.33759,5.33759,5.33759,
clReleaseDevice,5,0.018402,0.002571,0.0036804,0.006211,
clReleaseKernel,1,6.51964,6.51964,6.51964,6.51964,
clReleaseMemObject,9,0.02664,0.00218,0.00296,0.00437,
clReleaseProgram,1,0.0042,0.0042,0.0042,0.0042,
clRetainDevice,5,0.015141,0.00225,0.0030282,0.00523,
clRetainMemObject,6,0.016631,0.002,0.00277183,0.004001,
clSetKernelArg,4,0.632276,0.01323,0.158069,0.256877,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
krnl_vadd,1,0.625465,0.625465,0.625465,0.625465,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
35280912,krnl_vadd,0,0,xilinx_u280_gen3x16_xdma_base_1-0,32117.1,0.625465,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,32117,0.105333,800,7594.96,
0,0,0,32884.8,0.096552,400,4142.85,
1073741824,0,0,32884.9,0.069172,400,5782.69,
2147483648,0,0,32885,0.00668,400,59880.2,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
2147483648,0,0,32117.8,0.096792,400,4132.57,

Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,4132.57,26.2321,400,0.096792,0.096792,
context0:1,WRITE,4,7201.06,45.7098,500,0.277737,0.0694343,

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_gen3x16_xdma_base_1-0,krnl_vadd_1,krnl_vadd,1:1:1,1:1:1,1,Yes,1,1.000000x,0.486807,0.48681,0.486807,0.48681,300,





Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u280_gen3x16_xdma_base_1-0,krnl_vadd_1/m_axi_gmem0,in1,HBM[0:3],READ,6250,13223.2,68.6921,1.024,210.937,
xilinx_u280_gen3x16_xdma_base_1-0,krnl_vadd_1/m_axi_gmem1,in2,HBM[4:7],READ,6250,13223.1,68.6916,1.024,224.039,
xilinx_u280_gen3x16_xdma_base_1-0,krnl_vadd_1/m_axi_gmem2,out_r,HBM[8:11],WRITE,6250,13242.7,68.7935,1.024,70.8453,

Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u280_gen3x16_xdma_base_1-0,krnl_vadd_1,6250,1024,25,6.4,0,6.4,13223.2,



Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u280_gen3x16_xdma_base_1-0,0.625465,
CU_CALLS,xilinx_u280_gen3x16_xdma_base_1-0|krnl_vadd_1,1,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_MEMORY|3,3,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_u280_gen3x16_xdma_base_1-0|XCL_PERF_MON_STR|0,0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[0],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[1],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[2],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[3],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[4],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[5],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[6],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[7],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[8],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[9],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[10],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[11],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[12],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[13],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[14],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[15],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[16],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[17],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[18],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[19],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[20],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[21],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[22],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[23],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[24],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[25],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[26],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[27],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[28],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[29],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[30],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HBM[31],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|DDR[0],1,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|DDR[1],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[2],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[3],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[4],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|PLRAM[5],0,
MEMORY_USAGE,xilinx_u280_gen3x16_xdma_base_1-0|HOST[0],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,1,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
PORT_BIT_WIDTH,krnl_vadd_1/m_axi_gmem0,512,
PORT_BIT_WIDTH,krnl_vadd_1/m_axi_gmem1,512,
PORT_BIT_WIDTH,krnl_vadd_1/m_axi_gmem2,512,
KERNEL_COUNT,krnl_vadd,1,
TRACE_MEMORY,all,TS2MM,
PLRAM_SIZE_BYTES,xilinx_u280_gen3x16_xdma_base_1-0,131072,
TRACE_BUFFER_FULL,xilinx_u280_gen3x16_xdma_base_1-0,false
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_gen3x16_xdma_base_1-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_gen3x16_xdma_base_1-0|DDR,512,
